x,y,condition
-3.8988843,10.182903,TDAP Attack
8.710874,10.940974,TDAP Attack
-17.513474,8.352736,TDAP Attack
22.544218,18.921793,TDAP Attack
-14.230403,11.643157,TDAP Attack
-26.697912,8.50406,TDAP Attack
-2.792647,11.125408,TDAP Attack
-10.008826,8.103127,TDAP Attack
15.370485,22.786318,TDAP Attack
4.294533,22.006678,TDAP Attack
-27.574556,19.936432,TDAP Attack
-28.577202,30.976631,TDAP Attack
-14.032538,5.2142773,TDAP Attack
-4.312224,17.661058,TDAP Attack
-12.40026,3.4453127,TDAP Attack
7.823763,13.0844755,TDAP Attack
-16.151384,2.6797678,TDAP Attack
11.853078,17.112898,TDAP Attack
-17.71729,10.636023,TDAP Attack
-27.81168,13.665412,TDAP Attack
-18.46344,28.040771,TDAP Attack
10.179593,15.314433,TDAP Attack
15.218655,25.404202,TDAP Attack
-11.430704,14.606024,TDAP Attack
46.74471,3.9781108,TDAP Attack
-11.191029,-4.122296,TDAP Attack
-17.195105,11.255449,TDAP Attack
-11.4422245,4.898961,TDAP Attack
-22.190174,23.42261,TDAP Attack
6.350791,14.295926,TDAP Attack
15.705435,17.520777,TDAP Attack
-28.046486,28.337605,TDAP Attack
-7.8872824,12.393122,TDAP Attack
17.779638,22.87231,TDAP Attack
15.601373,5.6849275,TDAP Attack
4.121302,23.327631,TDAP Attack
-27.44998,21.014322,TDAP Attack
-9.50511,10.304343,TDAP Attack
-27.927755,32.830475,TDAP Attack
-15.769755,6.4387336,TDAP Attack
-13.549884,4.6400533,TDAP Attack
-10.980549,13.907411,TDAP Attack
15.913694,17.12153,TDAP Attack
-9.971083,13.020358,TDAP Attack
24.80242,12.735681,TDAP Attack
-24.653309,17.72292,TDAP Attack
9.805989,17.623655,TDAP Attack
-16.852495,4.836902,TDAP Attack
19.764715,22.931648,TDAP Attack
8.638639,12.040226,TDAP Attack
-16.484318,12.512412,TDAP Attack
-11.744157,5.5136747,TDAP Attack
-5.157907,19.4791,TDAP Attack
-5.4351745,11.399877,TDAP Attack
22.657804,19.573025,TDAP Attack
-15.944266,10.573589,TDAP Attack
33.05129,3.5280232,TDAP Attack
39.40416,11.91844,TDAP Attack
14.713766,22.864717,TDAP Attack
25.200176,11.965344,TDAP Attack
-23.228634,15.960761,TDAP Attack
-19.501963,27.164135,TDAP Attack
34.32331,14.016348,TDAP Attack
7.7774234,27.566315,TDAP Attack
10.088958,20.463484,TDAP Attack
31.960938,8.230522,TDAP Attack
-2.1665952,14.541232,TDAP Attack
33.38585,3.618648,TDAP Attack
-15.608061,13.560236,TDAP Attack
28.244574,3.6253352,TDAP Attack
16.545443,5.116024,TDAP Attack
7.4872737,5.514644,TDAP Attack
38.726803,9.98077,TDAP Attack
9.819997,20.85565,TDAP Attack
4.6941614,22.83275,TDAP Attack
-16.096964,5.3683534,TDAP Attack
-5.4309034,18.29503,TDAP Attack
-31.253105,9.511437,TDAP Attack
35.296646,11.277883,TDAP Attack
33.786102,10.922866,TDAP Attack
32.62864,17.18748,TDAP Attack
-9.647201,11.251187,TDAP Attack
-17.760033,11.249748,TDAP Attack
25.978275,10.161358,TDAP Attack
16.257029,22.728224,TDAP Attack
-4.31049,10.849052,TDAP Attack
5.5374756,21.28748,TDAP Attack
-6.051634,8.189454,TDAP Attack
18.0622,26.10525,TDAP Attack
14.87572,22.021309,TDAP Attack
-28.384258,22.866888,TDAP Attack
2.2260506,22.141546,TDAP Attack
-6.544304,6.9605107,TDAP Attack
-27.088505,8.31961,TDAP Attack
-29.040915,18.759007,TDAP Attack
27.15857,14.375743,TDAP Attack
3.2932034,20.285728,TDAP Attack
31.976877,0.3549661,TDAP Attack
-28.11806,9.525049,TDAP Attack
-29.537027,18.568525,TDAP Attack
-2.3911662,15.173415,TDAP Attack
20.25017,23.531418,TDAP Attack
-11.714336,10.864457,TDAP Attack
-4.204521,15.041004,TDAP Attack
-29.347979,18.306273,TDAP Attack
-29.334766,17.398346,TDAP Attack
-15.1977,14.348704,TDAP Attack
12.471492,21.344337,TDAP Attack
-3.559209,11.587071,TDAP Attack
-22.480883,13.922294,TDAP Attack
-17.596487,7.9189997,TDAP Attack
5.701895,13.441882,TDAP Attack
37.10587,12.96695,TDAP Attack
29.93686,1.0034863,TDAP Attack
37.058235,14.071097,TDAP Attack
-21.39731,24.467445,TDAP Attack
-29.735199,8.73831,TDAP Attack
